Communes;Codes_Insee;Numero_departement;NB_allocataires;Dont_RSA_jeune;NB_allocataire_RSA;RSA_majore;RSA_non_Majore
RESIDENCE A L'ETRANGER;99999;;6760;;514;98;416
COMMUNES INCONNUES INSEE;XXXXX;;5217;;504;53;451
L'ABERGEMENT-CLEMENCIAT;1001;1;96;;;;
L'ABERGEMENT-DE-VAREY;1002;1;38;;;;
AMBERIEU-EN-BUGEY;1004;1;3030;;358;46;312
AMBERIEUX-EN-DOMBES;1005;1;238;;;;
AMBLEON;1006;1;;;;;
AMBRONAY;1007;1;420;;39;;
AMBUTRIX;1008;1;96;;5;;
ANDERT-ET-CONDON;1009;1;31;;;;
ANGLEFORT;1010;1;138;;6;;
APREMONT;1011;1;47;;;;
ARANC;1012;1;35;;;;
ARANDAS;1013;1;13;;;;
ARBENT;1014;1;532;;43;;
ARBOYS EN BUGEY;1015;1;73;;;;
ARBIGNY;1016;1;71;;;;
ARGIS;1017;1;60;;8;;
ARMIX;1019;1;;;;;
ARS-SUR-FORMANS;1021;1;204;;7;;
ARTEMARE;1022;1;233;;25;;
ASNIERES-SUR-SAONE;1023;1;13;;;;
ATTIGNAT;1024;1;463;;12;;
BAGE-DOMMARTIN;1025;1;426;;20;6;14
BAGE-LE-CHATEL;1026;1;152;;9;;
BALAN;1027;1;293;;14;;
BANEINS;1028;1;81;;;;
BEAUPONT;1029;1;163;;6;;
BEAUREGARD;1030;1;180;;12;;
BELLIGNAT;1031;1;766;;78;8;70
BELIGNEUX;1032;1;539;;25;11;14
BELLEGARDE-SUR-VALSERINE;1033;1;2037;;248;24;224
BELLEY;1034;1;1843;;193;25;168
BELLEYDOUX;1035;1;29;;;;
BELMONT-LUTHEZIEU;1036;1;73;;;;
BENONCES;1037;1;29;;;;
BENY;1038;1;91;;;;
BEON;1039;1;66;;;;
BEREZIAT;1040;1;69;;;;
BETTANT;1041;1;101;;;;
BEY;1042;1;40;;;;
BEYNOST;1043;1;610;;21;;
BILLIAT;1044;1;79;;11;;
BIRIEUX;1045;1;44;;;;
BIZIAT;1046;1;123;;7;;
BLYES;1047;1;130;;5;;
LA BOISSE;1049;1;461;;17;;
BOISSEY;1050;1;49;;;;
BOLOZON;1051;1;10;;;;
BOULIGNEUX;1052;1;33;;;;
BOURG-EN-BRESSE;1053;1;10072;;1377;182;1195
BOURG-SAINT-CHRISTOPHE;1054;1;212;;6;;
BOYEUX-SAINT-JEROME;1056;1;38;;;;
BOZ;1057;1;72;;;;
BREGNIER-CORDON;1058;1;116;;;;
BRENAZ;1059;1;11;;;;
BRENOD;1060;1;56;;6;;
BRENS;1061;1;142;;6;;
BRESSOLLES;1062;1;126;;;;
BRION;1063;1;67;;;;
BRIORD;1064;1;158;;14;;
BUELLAS;1065;1;223;;7;;
LA BURBANCHE;1066;1;13;;;;
CEIGNES;1067;1;34;;;;
CERDON;1068;1;118;;8;;
CERTINES;1069;1;231;;6;;
CESSY;1071;1;369;;35;8;27
CEYZERIAT;1072;1;553;;27;;
CEYZERIEU;1073;1;111;;;;
CHALAMONT;1074;1;425;;19;5;14
CHALEINS;1075;1;207;;5;;
CHALEY;1076;1;10;;;;
CHALLES-LA-MONTAGNE;1077;1;23;;;;
CHALLEX;1078;1;75;;;;
CHAMPAGNE-EN-VALROMEY;1079;1;163;;6;;
CHAMPDOR-CORCELLES;1080;1;88;;;;
CHAMPFROMIER;1081;1;81;;5;;
CHANAY;1082;1;60;;6;;
CHANEINS;1083;1;129;;;;
CHANOZ-CHATENAY;1084;1;105;;;;
LA CHAPELLE-DU-CHATELARD;1085;1;46;;;;
CHARIX;1087;1;37;;;;
CHARNOZ-SUR-AIN;1088;1;121;;;;
CHATEAU-GAILLARD;1089;1;321;;10;;
CHATENAY;1090;1;42;;;;
CHATILLON-EN-MICHAILLE;1091;1;420;;24;;
CHATILLON-LA-PALUD;1092;1;212;;6;;
CHATILLON-SUR-CHALARONNE;1093;1;817;;57;10;47
CHAVANNES-SUR-REYSSOUZE;1094;1;91;;;;
NIVIGNE ET SURAN;1095;1;128;;9;;
CHAVEYRIAT;1096;1;123;;;;
CHAVORNAY;1097;1;23;;;;
CHAZEY-BONS;1098;1;162;;9;;
CHAZEY-SUR-AIN;1099;1;191;;12;;
CHEIGNIEU-LA-BALME;1100;1;10;;;;
CHEVILLARD;1101;1;20;;;;
CHEVROUX;1102;1;144;;6;;
CHEVRY;1103;1;114;;12;;
CHEZERY-FORENS;1104;1;47;;6;;
CIVRIEUX;1105;1;244;;10;5;5
CIZE;1106;1;18;;;;
CLEYZIEU;1107;1;14;;;;
COLIGNY;1108;1;185;;23;;
COLLONGES;1109;1;204;;16;;
COLOMIEU;1110;1;22;;;;
CONAND;1111;1;18;;;;
CONDAMINE;1112;1;64;;;;
CONDEISSIAT;1113;1;116;;7;;
CONFORT;1114;1;96;;;;
CONFRANCON;1115;1;207;;6;;
CONTREVOZ;1116;1;63;;5;;
CONZIEU;1117;1;22;;;;
CORBONOD;1118;1;229;;8;;
CORLIER;1121;1;13;;;;
CORMARANCHE-EN-BUGEY;1122;1;101;;;;
CORMORANCHE-SUR-SAONE;1123;1;144;;9;;
CORMOZ;1124;1;86;;;;
CORVEISSIAT;1125;1;81;;8;;
COURMANGOUX;1127;1;57;;;;
COURTES;1128;1;38;;;;
CRANS;1129;1;35;;;;
CRAS-SUR-REYSSOUZE;1130;1;209;;9;;
CRESSIN-ROCHEFORT;1133;1;40;;;;
CROTTET;1134;1;239;;11;;
CROZET;1135;1;108;;7;;
CRUZILLES-LES-MEPILLAT;1136;1;112;;;;
CULOZ;1138;1;482;;57;9;48
CURCIAT-DONGALON;1139;1;54;;;;
CURTAFOND;1140;1;92;;;;
CUZIEU;1141;1;45;;;;
DAGNEUX;1142;1;718;;24;6;18
DIVONNE-LES-BAINS;1143;1;721;;75;;
DOMPIERRE-SUR-VEYLE;1145;1;177;;13;;
DOMPIERRE-SUR-CHALARONNE;1146;1;61;;;;
DOMSURE;1147;1;65;;7;;
DORTAN;1148;1;235;;24;;
DOUVRES;1149;1;137;;;;
DROM;1150;1;27;;;;
DRUILLAT;1151;1;124;;5;;
ECHALLON;1152;1;82;;;;
ECHENEVEX;1153;1;113;;;;
ETREZ;1154;1;114;;;;
EVOSGES;1155;1;18;;;;
FARAMANS;1156;1;101;;;;
FAREINS;1157;1;295;;17;;
FARGES;1158;1;58;;;;
FEILLENS;1159;1;475;;12;;
FERNEY-VOLTAIRE;1160;1;887;;141;12;129
FLAXIEU;1162;1;9;;;;
FOISSIAT;1163;1;256;;14;;
FRANCHELEINS;1165;1;229;;;;
FRANS;1166;1;329;;22;6;16
GARNERANS;1167;1;75;;;;
GENOUILLEUX;1169;1;88;;;;
BEARD-GEOVREISSIAT;1170;1;147;;6;;
GEOVREISSET;1171;1;99;;7;;
GEX;1173;1;1382;;155;14;141
GIRON;1174;1;18;;;;
GORREVOD;1175;1;123;;10;;
GRAND-CORENT;1177;1;19;;;;
GRIEGES;1179;1;245;;7;;
GRILLY;1180;1;48;;;;
GROISSIAT;1181;1;164;;;;
GUEREINS;1183;1;187;;;;
HAUTECOURT-ROMANECHE;1184;1;100;;8;;
HAUTEVILLE-LOMPNES;1185;1;582;;50;;
HOSTIAZ;1186;1;;;;;
HAUT VALROMEY;1187;1;66;;7;;
ILLIAT;1188;1;82;;;;
INJOUX-GENISSIAT;1189;1;126;;6;;
INNIMOND;1190;1;9;;;;
IZENAVE;1191;1;13;;;;
IZERNORE;1192;1;343;;13;;
IZIEU;1193;1;21;;;;
JASSANS-RIOTTIER;1194;1;1050;;89;11;78
JASSERON;1195;1;271;;10;;
JAYAT;1196;1;172;;5;;
JOURNANS;1197;1;38;;;;
JOYEUX;1198;1;36;;;;
JUJURIEUX;1199;1;342;;28;6;22
